project_name,date,active_addresses_aggregation_daily,active_addresses_aggregation_monthly,active_addresses_aggregation_over_30_day_window,active_contracts_daily,active_contracts_monthly,active_contracts_weekly,active_developers_daily,active_developers_weekly,closed_issues_daily,closed_issues_monthly,closed_issues_weekly,comments_daily,comments_weekly,commits_daily,commits_weekly,contributors_daily,contributors_weekly,forks_daily,forks_weekly,gas_fees_daily,gas_fees_monthly,gas_fees_over_180_day_window,gas_fees_over_30_day_window,gas_fees_over_90_day_window,gas_fees_weekly,merged_pull_requests_daily,merged_pull_requests_monthly,merged_pull_requests_weekly,opened_issues_daily,opened_issues_monthly,opened_issues_weekly,opened_pull_requests_daily,opened_pull_requests_monthly,opened_pull_requests_weekly,releases_daily,releases_weekly,repositories_daily,repositories_weekly,stars_daily,stars_weekly,transactions_daily,transactions_monthly,transactions_over_180_day_window,transactions_weekly
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-11,,,,,,,,,,,,,,,,,,,,0.0001795183802625,,,,,,,,,,,,,,,,,,,,,336.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-12,,,,,,,,,,,,,,,,,,,,0.0001972698327,,,,,,,,,,,,,,,,,,,,,342.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-13,,,,,,,,,,,,,,,,,,,,0.0002015652904,,,,,,,,,,,,,,,,,,,,,388.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-14,,,,,,,,,,,,,,,,,,,,0.0002554295890573,,,,,,,,,,,,,,,,,,,,,489.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-15,,,,,,,,,,,,,,,,,,,,0.0005892952098562,,,,,,,,,,,,,,,,,,,,,1436.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-16,,,,,,,,,,,,,,,,,,,,0.0013338415157575,,,,,,,,,,,,,,,,,,,,,3189.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-17,,,,,,,,,,,,,,,,,,,,9.985122513567e-05,,,,,0.0013580610315172,,,,,,,,,,,,,,,,184.0,,,2763.0
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-18,,,,,,,,,,,,,,,,,,,,0.0001046319635976,,,,,,,,,,,,,,,,,,,,,230.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-19,,,,,,,,,,,,,,,,,,,,0.0001548139160838,,,,,,,,,,,,,,,,,,,,,294.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-20,,,,,,,,,,,,,,,,,,,,0.0007366280324,,,,,,,,,,,,,,,,,,,,,1541.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-21,,,,,,,,,,,,,,,,,,,,0.00010639079235,,,,,,,,,,,,,,,,,,,,,188.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-22,,,,,,,,,,,,,,,,,,,,7.36462236e-05,,,,,,,,,,,,,,,,,,,,,149.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-23,,,,,,,,,,,,,,,,,,,,8.209887835e-05,,,,,,,,,,,,,,,,,,,,,177.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-24,,,,,,,,,,,,,,,,,,,,0.00012678292625,,,,,0.001170160515523,,,,,,,,,,,,,,,,251.0,,,2532.0
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-25,,,,,,,,,,,,,,,,,,,,8.6452097e-05,,,,,,,,,,,,,,,,,,,,,160.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-26,,,,,,,,,,,,,,,,,,,,0.000121999885381,,,,,,,,,,,,,,,,,,,,,238.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-27,,,,,,,,,,,,,,,,,,,,0.000586909130892,,,,,,,,,,,,,,,,,,,,,1373.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-28,,,,,,,,,,,,,,,,,,,,6.19710536e-05,,,,,,,,,,,,,,,,,,,,,141.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-29,,,,,,,,,,,,,,,,,,,,6.9526271e-05,,,,,,,,,,,,,,,,,,,,,152.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-04-30,,,,,,,,,,,,,,,,,,,,0.0001165191514,,,,,,,,,,,,,,,,,,,,,217.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-01,,,,,,,,,,,,,,,,,,,,8.47968922e-05,0.0102972485663456,,,,0.0006106751680394,,,,,,,,,,,,,,,,133.0,17572.0,,931.0
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-02,,,,,,,,,,,,,,,,,,,,8.604634148124e-05,,,,,,,,,,,,,,,,,,,,,133.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-03,,,,,,,,,,,,,,,,,,,,5.4181981e-05,,,,,,,,,,,,,,,,,,,,,97.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-04,,,,,,,,,,,,,,,,,,,,0.000171678565381,,,,,,,,,,,,,,,,,,,,,270.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-05,,,,,,,,,,,,,,,,,,,,9.1685852330603e-05,,,,,,,,,,,,,,,,,,,,,136.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-06,,,,,,,,,,,,,,,,,,,,5.6052911041250007e-05,,,,,,,,,,,,,,,,,,,,,83.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-07,,,,,,,,,,,,,,,,,,,,6.623262460538201e-05,,,,,,,,,,,,,,,,,,,,,79.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-08,,,,,,,,,,,,,,,,,,,,0.0001176468276,,,,,0.0010885552672086,,,,,,,,,,,,,,,,157.0,,,1911.0
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-09,,,,,,,,,,,,,,,,,,,,0.0001143518362,,,,,,,,,,,,,,,,,,,,,186.0,,,
